1,a,huruf_f,huruf_a,huruf_z,huruf_o,b,text
2,belajar,maaf,belajar,tutup,pagi,b,gambar
3,dingin,foto,istirahat,dingin,malam,c,gambar
4,2,angka_2,angka_5,angka_10,angka_8,a,text
5,huruf_e,a,f,z,e,d,gambar
6,jalan,meja,kecil,saya,jalan,d,text
7,ibu,ibu,siang,teman,baca,a,text
8,jam,kecil,keluarga,jam,besar,c,gambar
9,angka_10,1,4,10,5,c,gambar
10,Laki - laki,belajar,lakilaki,bicara,kursi,b,text
